0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
YEAR 2019,YEAR 2019,YEAR 2019,ROUTE OF FLIGHT,ROUTE OF FLIGHT,"TOTAL
DURATION
OF
FLIGHT","TOTAL
DURATION
OF
FLIGHT",,,,,,,,,,,,AIRCRAFT CATEGORY AND CLASS,
DATE,"AIRCRAFT
MAKE AND
MODEL","AIRCRAFT
IDENT",FROM,ΤΟ,"TOTAL
DURATION
OF
FLIGHT","TOTAL
DURATION
OF
FLIGHT","AIRPLANE
SINGLE-
ENGINE
LAND","AIRPLANE
SINGLE-
ENGINE
LAND","AIRPLANE
SINGLE-
ENGINE
SEA","AIRPLANE
SINGLE-
ENGINE
SEA","AIRPLANE
MULTI-
ENGINE
LAND","AIRPLANE
MULTI-
ENGINE
LAND","Ground
Instruction
Recd","Ground
Instruction
Recd","ROTORCRAFT
HELICOPTER","ROTORCRAFT
HELICOPTER",GLIDER,GLIDER,
9/2,C - 172,734ST,BON,BON,,,,,,,,,,,,,,,
10/7,C - 172,9012H,BDN,BDN,,,,,,,,,,25,,,,,
,C - 172,7345T,BDN,BON,,,,,,,,,,,,,,,
10110,,,,,,,,,,,,,216,,,,,,
10/11,,,,,,,,,,,,,15,,,,,,
10/14,C - 172,734131,BON,BON,,8,,8,,,,,,3,,,,,
10/16,C - 172,17H2,BDN,BDN,1/4,,,,,,,,,2,,,,,
,- 172,9012H,BDN,вол,,,19,,,,,,,3,,,,,3
10/19,Ground,,,,,,,,,,,,20,,,,,,
10 ₂21,C - 172,9012H,BDN,,15,,115,,,,,,,12₂,,,,,1
10/23,C - 172,734 BB,BDN,BDN,1/3,,,13,,,,,,2,,,,,14
10/24,( 172 9936V,( 172 9936V,BDN - 539,- BON,,17,,,,,,,,21,,,,,14
10/26,"FTD
( sim )",F12791,,,,,,,,,,,,2,,,,,
,,,TOTALS THIS PAGE,TOTALS THIS PAGE,116,,116,,,,,,86,,,,,,117
,,,AMT . FORWARDED,AMT . FORWARDED,116,,11,6,,,,,86,,,,,,
,,,TOTALS TO DATE,TOTALS TO DATE,11,16,116,,,,,,86,,,,,,17
